baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Significance,Ensembl_ID,Gene_Symbol,Gene_Name
915.494277103021,-1.537092028400562,0.2844939647281104,-5.402898546088855,6.557255145323956e-08,0.0003576982681774,Downregulated,ENSG00000180176,TH,tyrosine hydroxylase
37.18201353337763,-2.2190894159063705,0.4446188614453628,-4.990992529405019,6.006982123781909e-07,0.0016384043742615,Downregulated,ENSG00000171873,ADRA1D,adrenoceptor alpha 1D
1642.8302021665445,1.089203568602027,0.2296813915506999,4.742236892802853,2.113712508908637e-06,0.0042466652129877,Upregulated,ENSG00000276168,RN7SL1,RNA component of signal recognition particle 7SL1
5641.29915086521,1.0095643958567309,0.2130038767240957,4.739652683243983,2.140848640827915e-06,0.0042466652129877,Upregulated,ENSG00000274012,RN7SL2,RNA component of signal recognition particle 7SL2
76.46676915516322,-1.5194574514508714,0.322142479869244,-4.716724885422163,2.3967142590767323e-06,0.0043580254277545,Downregulated,ENSG00000101188,NTSR1,neurotensin receptor 1
23.10150562889525,-2.025720172806817,0.4341876323620763,-4.665540936268621,3.078062062416192e-06,0.0047973795858515,Downregulated,ENSG00000175920,DOK7,docking protein 7
44.64021669059749,1.3579248302465126,0.2929770522430932,4.634918741416633,3.570777186651974e-06,0.0048696473882966,Upregulated,ENSG00000269549,,
23.18306171164772,2.708609033866185,0.5833460954143245,4.643228188477685,3.4300715530000496e-06,0.0048696473882966,Upregulated,ENSG00000127530,OR7C1,olfactory receptor family 7 subfamily C member 1
714.4268529052999,4.993977051979543,1.083456289428816,4.609301824822396,4.040234386397789e-06,0.0051857596653646,Upregulated,ENSG00000159842,ABR,ABR activator of RhoGEF and GTPase
10.558286953581389,6.818459856678431,1.513774079339915,4.504278379275484,6.659885825413944e-06,0.0069199385100253,Upregulated,ENSG00000283623,,
548.343185981306,1.961036096182945,0.4364495556372772,4.4931563587447325,7.0175220552475735e-06,0.0069601059657046,Upregulated,ENSG00000280165,PCDH20,protocadherin 20
41.32680730318559,1.5780666414567084,0.3568375067078657,4.4223676373477,9.762515701929708e-06,0.0092616562007002,Upregulated,ENSG00000205056,LINC02397,long intergenic non-protein coding RNA 2397
220.207954497754,-1.060258698129368,0.2403454078965829,-4.411395696753155,1.0270642679098126e-05,0.0093351204060708,Downregulated,ENSG00000124302,CHST8,carbohydrate sulfotransferase 8
4166.242823017522,-1.147984488287494,0.2620533907125728,-4.380727473763672,1.1828373639717252e-05,0.0095590782525418,Downregulated,ENSG00000258947,TUBB3,tubulin beta 3 class III
112.75094354581822,1.1264181918629117,0.258074306988683,4.364704898393108,1.2729448458980756e-05,0.0095778125991365,Upregulated,ENSG00000235609,,
10.432122069207187,-2.688859377885235,0.6177148950253009,-4.352913293073664,1.343402923182823e-05,0.0096475900154756,Downregulated,ENSG00000234944,LINC02623,long independently transcribed non-coding RNA 2623
1232.3189274749934,-1.675725651010909,0.3853765479773777,-4.348281336282242,1.37208524744299e-05,0.0096475900154756,Downregulated,ENSG00000142319,SLC6A3,solute carrier family 6 member 3
938.8193163066612,-2.096821479409584,0.4864460705484321,-4.310491144569371,1.628923523115043e-05,0.0104538562571677,Downregulated,ENSG00000205609,EIF3CL,eukaryotic translation initiation factor 3 subunit C like
270.28267078124026,-1.860687344155316,0.4315698666772314,-4.311439439646774,1.621951995754695e-05,0.0104538562571677,Downregulated,ENSG00000187730,GABRD,gamma-aminobutyric acid type A receptor subunit delta
10.286884697611036,3.350293264663052,0.7876704619245679,4.253419960013553,2.1053021094437845e-05,0.0115349838477821,Upregulated,ENSG00000231245,C1DP1,C1D nuclear receptor corepressor pseudogene 1
401.6012176581935,-1.3836068106803978,0.3254936848782112,-4.250794638913185,2.130134130374764e-05,0.0115349838477821,Downregulated,ENSG00000263244,,
109.10338952637056,4.040544549043599,0.957207129493943,4.22118100100211,2.4302569297039844e-05,0.0120518650468502,Upregulated,ENSG00000244921,MTCYBP18,MT-CYB pseudogene 18
211.40507161759788,1.145965710535103,0.2741747874457673,4.1796903399142025,2.919063083408646e-05,0.0127010544625412,Upregulated,ENSG00000186439,TRDN,triadin
232.9624435929962,-1.0755777164637732,0.25757035094606,-4.175859964134687,2.9686240952777523e-05,0.0127010544625412,Downregulated,ENSG00000149295,DRD2,dopamine receptor D2
314.25523992185407,-1.3630067500147949,0.3305295097158367,-4.123706688660268,3.728236007929881e-05,0.0144372306161868,Downregulated,ENSG00000132437,DDC,dopa decarboxylase
14.96120228449279,-1.724151707093786,0.4212988014881543,-4.092467628684351,4.2680684172836506e-05,0.0150208472363111,Downregulated,ENSG00000168748,CA7,carbonic anhydrase 7
7536.375783276305,1.0552451007439816,0.2591704227383442,4.07162626658732,4.668604357451691e-05,0.0161696741396183,Upregulated,ENSG00000134294,SLC38A2,solute carrier family 38 member 2
31.800850130731806,1.0669850091007231,0.2627030784304796,4.061562641273291,4.874533454078429e-05,0.0165784557572763,Upregulated,ENSG00000273356,LINC02019,long intergenic non-protein coding RNA 2019
211.27345407465955,1.840878876744318,0.4568572156995033,4.029440301004573,5.590981190779848e-05,0.0174278870832594,Upregulated,ENSG00000283293,RN7SK,RNA component of 7SK nuclear ribonucleoprotein
281.2240645233816,3.210374393245965,0.8022247776404141,4.00183898917788,6.285206522923767e-05,0.018698480181953,Upregulated,ENSG00000255823,,
10.80685157189228,2.004154970232145,0.5010720677014722,3.9997339692584446,6.341372747316798e-05,0.018698480181953,Upregulated,ENSG00000281938,,
136.60686770688167,3.113224877741193,0.7931990453796608,3.924897408633495,8.676670795277472e-05,0.022810235753368,Upregulated,ENSG00000201588,RNA5S2,"RNA, 5S ribosomal 2"
239.76056165955583,1.111208834271531,0.2843885442194878,3.9073614491795854,9.33095154225771e-05,0.0239336804988731,Upregulated,ENSG00000254996,ANKHD1-EIF4EBP3,ANKHD1-EIF4EBP3 readthrough
519.0260809800088,1.1617047612089326,0.2984471479529143,3.8924974461213937,9.921754440274792e-05,0.0243250204367186,Upregulated,ENSG00000198944,SOWAHA,sosondowah ankyrin repeat domain family member A
92.1487570473075,-1.1571996101919388,0.297100931504656,-3.894971329545642,9.821034566703404e-05,0.0243250204367186,Downregulated,ENSG00000163064,EN1,engrailed homeobox 1
57.94626684514856,-9.350431157016642,2.407128222036508,-3.884475729799668,0.0001025509357776,0.0245896859194349,Downregulated,ENSG00000240247,DEFA1B,defensin alpha 1B
169.94966189388387,2.605790225854665,0.6768787675209911,3.849714824706561,0.0001182554270471,0.0268552144650512,Upregulated,ENSG00000206588,RNU1-28P,"RNA, U1 small nuclear 28, pseudogene"
4191.353711624948,-1.0580869269840427,0.2750143596090013,-3.8473879272644753,0.0001193838589876,0.0268552144650512,Downregulated,ENSG00000165092,ALDH1A1,aldehyde dehydrogenase 1 family member A1
55.82286290563263,-1.171908967154638,0.3062909773200378,-3.826129575897144,0.0001301737883362,0.0275766219562901,Downregulated,ENSG00000261340,LINC01616,long independently transcribed non-coding RNA 1616
1035.9619021188505,-1.4996320233001574,0.3931721694180463,-3.814186608171777,0.0001366322000245,0.0278969379683229,Downregulated,ENSG00000165646,SLC18A2,solute carrier family 18 member A2
249.3242166618544,-1.0198321844035994,0.26712647771957,-3.8177877128085433,0.000134653712074,0.0278969379683229,Downregulated,ENSG00000099957,P2RX6,purinergic receptor P2X 6
12.824798391701886,3.0259421933691653,0.8056141619324018,3.756068768839578,0.0001726032833312,0.033688729648268,Upregulated,ENSG00000277027,RMRP,RNA component of mitochondrial RNA processing endoribonuclease
16.07259034444602,-1.8329484756023653,0.4902121057174881,-3.739092638113477,0.0001846856642874,0.0349279881174406,Downregulated,ENSG00000231013,SCTR-AS1,SCTR antisense RNA 1
190.04307614676847,1.7359158239900403,0.4644297958373968,3.737735691268629,0.000185684996408,0.0349279881174406,Upregulated,ENSG00000188269,OR7A5,olfactory receptor family 7 subfamily A member 5
42.08108630643301,-1.8302502298208525,0.4912737723464799,-3.725519929710464,0.0001949130512141,0.0360423964194215,Downregulated,ENSG00000144891,AGTR1,angiotensin II receptor type 1
